"","country","date","confirmed","death","recovered","per_day"
"1","Nepal",2020-01-22,0,0,0,0
"2","Nepal",2020-01-23,0,0,0,0
"3","Nepal",2020-01-24,0,0,0,0
"4","Nepal",2020-01-25,1,0,0,1
"5","Nepal",2020-01-26,1,0,0,0
"6","Nepal",2020-01-27,1,0,0,0
"7","Nepal",2020-01-28,1,0,0,0
"8","Nepal",2020-01-29,1,0,0,0
"9","Nepal",2020-01-30,1,0,0,0
"10","Nepal",2020-01-31,1,0,0,0
"11","Nepal",2020-02-01,1,0,0,0
"12","Nepal",2020-02-02,1,0,0,0
"13","Nepal",2020-02-03,1,0,0,0
"14","Nepal",2020-02-04,1,0,0,0
"15","Nepal",2020-02-05,1,0,0,0
"16","Nepal",2020-02-06,1,0,0,0
"17","Nepal",2020-02-07,1,0,0,0
"18","Nepal",2020-02-08,1,0,0,0
"19","Nepal",2020-02-09,1,0,0,0
"20","Nepal",2020-02-10,1,0,0,0
"21","Nepal",2020-02-11,1,0,0,0
"22","Nepal",2020-02-12,1,0,1,0
"23","Nepal",2020-02-13,1,0,1,0
"24","Nepal",2020-02-14,1,0,1,0
"25","Nepal",2020-02-15,1,0,1,0
"26","Nepal",2020-02-16,1,0,1,0
"27","Nepal",2020-02-17,1,0,1,0
"28","Nepal",2020-02-18,1,0,1,0
"29","Nepal",2020-02-19,1,0,1,0
"30","Nepal",2020-02-20,1,0,1,0
"31","Nepal",2020-02-21,1,0,1,0
"32","Nepal",2020-02-22,1,0,1,0
"33","Nepal",2020-02-23,1,0,1,0
"34","Nepal",2020-02-24,1,0,1,0
"35","Nepal",2020-02-25,1,0,1,0
"36","Nepal",2020-02-26,1,0,1,0
"37","Nepal",2020-02-27,1,0,1,0
"38","Nepal",2020-02-28,1,0,1,0
"39","Nepal",2020-02-29,1,0,1,0
"40","Nepal",2020-03-01,1,0,1,0
"41","Nepal",2020-03-02,1,0,1,0
"42","Nepal",2020-03-03,1,0,1,0
"43","Nepal",2020-03-04,1,0,1,0
"44","Nepal",2020-03-05,1,0,1,0
"45","Nepal",2020-03-06,1,0,1,0
"46","Nepal",2020-03-07,1,0,1,0
"47","Nepal",2020-03-08,1,0,1,0
"48","Nepal",2020-03-09,1,0,1,0
"49","Nepal",2020-03-10,1,0,1,0
"50","Nepal",2020-03-11,1,0,1,0
"51","Nepal",2020-03-12,1,0,1,0
"52","Nepal",2020-03-13,1,0,1,0
"53","Nepal",2020-03-14,1,0,1,0
"54","Nepal",2020-03-15,1,0,1,0
"55","Nepal",2020-03-16,1,0,1,0
"56","Nepal",2020-03-17,1,0,1,0
"57","Nepal",2020-03-18,1,0,1,0
"58","Nepal",2020-03-19,1,0,1,0
"59","Nepal",2020-03-20,1,0,1,0
"60","Nepal",2020-03-21,1,0,1,0
"61","Nepal",2020-03-22,1,0,1,0
"62","Nepal",2020-03-23,2,0,1,1
"63","Nepal",2020-03-24,2,0,1,0
"64","Nepal",2020-03-25,3,0,1,1
"65","Nepal",2020-03-26,3,0,1,0
"66","Nepal",2020-03-27,4,0,1,1
"67","Nepal",2020-03-28,5,0,1,1
"68","Nepal",2020-03-29,5,0,1,0
"69","Nepal",2020-03-30,5,0,1,0
"70","Nepal",2020-03-31,5,0,1,0
"71","Nepal",2020-04-01,5,0,1,0
"72","Nepal",2020-04-02,6,0,1,1
"73","Nepal",2020-04-03,6,0,1,0
"74","Nepal",2020-04-04,9,0,1,3
"75","Nepal",2020-04-05,9,0,1,0
"76","Nepal",2020-04-06,9,0,1,0
"77","Nepal",2020-04-07,9,0,1,0
"78","Nepal",2020-04-08,9,0,1,0
"79","Nepal",2020-04-09,9,0,1,0
"80","Nepal",2020-04-10,9,0,1,0
"81","Nepal",2020-04-11,9,0,1,0
"82","Nepal",2020-04-12,12,0,1,3
"83","Nepal",2020-04-13,14,0,1,2
"84","Nepal",2020-04-14,16,0,1,2
"85","Nepal",2020-04-15,16,0,1,0
"86","Nepal",2020-04-16,16,0,2,0
"87","Nepal",2020-04-17,30,0,2,14
"88","Nepal",2020-04-18,31,0,2,1
"89","Nepal",2020-04-19,31,0,4,0
"90","Nepal",2020-04-20,31,0,4,0
"91","Nepal",2020-04-21,43,0,4,12
"92","Nepal",2020-04-22,45,0,7,2
"93","Nepal",2020-04-23,48,0,10,3
"94","Nepal",2020-04-24,49,0,11,1
"95","Nepal",2020-04-25,49,0,12,0
"96","Nepal",2020-04-26,52,0,16,3
"97","Nepal",2020-04-27,52,0,16,0
"98","Nepal",2020-04-28,54,0,16,2
"99","Nepal",2020-04-29,57,0,16,3
"100","Nepal",2020-04-30,57,0,16,0
"101","Nepal",2020-05-01,59,0,16,2
"102","Nepal",2020-05-02,59,0,16,0
